Tipo,Area,DATA,Empresa,Linha,Soma de Passageiros Pagtes Em Dinheiro,Soma de Passageiros Pagtes Comum,Soma de Passageiros Pgts Bu Comum M,Soma de Passageiros Pagtes Estudante,Soma de Passageiros Pgts Bu Est Mensal,Soma de Passageiros Pagtes Bu Vt,Soma de Passageiros Pgts Bu Vt Mensal,Soma de Passageiros Pagtes Int M/Cptm,Soma de Passageiros Pgts Int M/Cptm M,Soma de Passageiros Int Ônibus->Ônibus,Soma de Passageiros Pagantes,Soma de Passageiros Com Gratuidade,Soma de Passageiros Com Gratuidade Est,Soma de Tot Passageiros Transportados
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605231 - JD ALMEIDA PRADO/TERM VARGINHA,252,6200,522,329,0,5300,0,0,0,12603,6662,4436,3070,26771
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605310 - JD ELLUS/TERM GRAJAU,2984,16055,2123,1179,1,14396,0,7612,0,44350,20703,14895,10510,90458
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605510 - JD SAO BERNARDO/SHOP INTERLAGO,8069,38449,4760,2681,2,40038,2,956,0,94957,50727,31325,19021,196030
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605610 - PQ SANTA CECILIA/TERM GRAJAU,5173,43829,6774,4193,1,47926,1,28899,0,136796,82281,36167,33326,288570
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605641 - VILA NATAL/TERM GRAJAU,112,1574,217,156,0,2739,0,0,0,4798,560,428,832,6618
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605710 - VILA NATAL/TERM GRAJAU,8233,64217,8953,5497,6,74668,3,42899,0,204476,101467,50555,43462,399960
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,605810 - JD NORONHA/TERM VARGINHA,3268,28510,3146,1528,0,20737,0,24,0,57213,40483,23171,17731,138598
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606110 - JD MARILDA/TERM GRAJAU,8335,46791,4909,2899,3,47186,0,36110,5,146238,50701,31752,37045,265736
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606210 - JD CASTRO ALVES/SANTO AMARO,3898,18121,2462,1530,1,18496,15,8597,0,53120,34287,29968,14932,132307
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606251 - JD CASTRO ALVES/TERM STO AMARO,10896,50937,7517,5090,2,59169,31,16607,0,150249,65454,43171,29190,288064
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606310 - JD VARGINHA/TERM VARGINHA,5409,68260,7205,2959,3,59826,0,72,0,143734,82883,38362,42297,307276
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606341 - JD VARGINHA/TERM VARGINHA,3329,44673,5315,1891,0,41112,0,58,0,96378,68447,25313,33219,223357
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606342 - CHACARA STO AMARO/TER VARGINHA,1853,15526,1751,529,0,11872,0,17,0,31548,20145,12125,7890,71708
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606343 - VILA DA PAZ/TERMINAL VARGINHA,396,3631,290,129,0,2857,3,5,0,7311,3968,2568,1583,15430
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,606910 - JD SAO BERNARDO/SANTO AMARO,7634,35634,3990,3267,4,28959,0,1096,0,80584,51714,34827,17415,184540
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607110 - JD ORION/TERM SANTO AMARO,9041,28045,3418,3136,1,33158,0,8854,0,85653,40195,37227,23349,186424
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607210 - JD SAO NICOLAU/TERM. VARGINHA,7621,62459,9291,2131,1,51449,8,137,0,133097,106816,39717,44216,323846
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607221 - JD IPORA/TERM VARGINHA,83,2378,173,99,0,2301,0,0,0,5034,49,477,902,6462
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607222 - JD MANACA DA SERRA/T VARGINHA,36,869,143,33,0,869,0,1,0,1951,76,235,477,2739
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607223 - TERM VARGINHA/BALNEARIO S JOSE,313,3746,543,219,0,3426,0,5,0,8252,6144,5162,3427,22985
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607310 - JD SANTA TEREZINHA/TERM VARGIN,5348,22279,3103,1549,2,19162,4,30,0,51477,44197,22636,21488,139798
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607321 - JD SILVEIRA/TERM VARGINHA,80,984,93,62,0,797,0,0,0,2016,92,189,358,2655
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607410 - JD GAIVOTAS/EST JURUBATUBA,19638,68991,9943,7205,6,72173,8,21970,0,199934,85211,48442,45025,378612
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607510 - JD REC CAMPO BELO/T VARGINHA,1440,19410,2383,1228,0,16716,0,27,0,41204,31775,11329,18203,102511
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607541 - JD ALMEIDA/TERM VARGINHA,25,475,49,19,0,521,0,0,0,1089,21,164,349,1623
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607610 - JD PROGRESSO/TERM STO AMARO,10360,46408,7311,7058,2,42787,14,16420,0,130360,69230,47735,36353,283678
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607641 - JD SATELITE II/TERM STO AMARO,492,2152,438,356,0,1658,0,638,0,5734,3885,3242,1451,14312
PERMISSAO,AREA 6,Sep-18,TRANSWOLFF,607810 - CANTINHO DO CEU/SHOP INTERLAGO,18763,85700,10291,5563,6,80144,7,2177,1,202652,125589,54165,42688,425094
