AREA,TIPO,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
","PASSAGEIROS PAGANTES
","PASSAGEIROS INTEGRAÇÕES ÔNIBUS 0> ÔNIBUS
","PASSAGEIROS COM GRATUIDADE
",TOTAL PASSAGEIROS TRANSPORTADOS,nome,letreiro
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,351F10 - JACANA/TERM CARRAO,25547,46114,1352,8158,951,34633,59,1423,39,118276,51367,37010,206653,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,701A10 - PQ EDU CHAVES/METRO V MADALENA,66748,74729,2133,12171,1278,46964,176,11174,143,215516,68223,40232,323971,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,701U10 - JACANA/BUTANTA USP,14527,32916,1874,11754,1239,22376,79,5268,57,90090,52681,12768,155539,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,701U21 - JAÇANA/PINHEIROS,1082,1743,129,331,24,1340,4,351,1,5005,3379,1003,9387,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,879A10 - TERM BARRA FUNDA/ANHEMBI,385,358,5,35,2,182,3,40,0,1010,277,175,1462,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,907010 - JD PAINEIRAS/TERM CASA VERDE,2204,5383,188,870,121,4127,23,6,9,12931,4851,2248,20030,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,916610 - JD SANTA CRUZ/PÇA DO CORREIO,716,4680,191,833,220,4578,9,3,0,11230,10705,2459,24394,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,930010 - TERM.CASA VERDE-PQ.D.PEDRO II,10236,31225,1451,3525,528,18567,56,1562,52,67202,71524,16933,155659,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,935410 - N SRA FATIMA/TERM CORREIO,18873,36544,1347,6729,919,27909,173,1791,88,94373,47500,15473,157346,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,967A10 - IMIRIM/PINHEIROS,23711,40700,1611,7875,722,37561,86,7008,121,119395,40258,16848,176501,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,970110 - ANHEMBI/METRO BARRA FUNDA,4832,13825,812,3128,403,15971,10,5283,24,44288,14950,5545,64783,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971A10 - JD PRIMAVERA/METRO SANTANA,19082,38625,1439,7732,883,30799,21,9812,40,108433,46872,19536,174841,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971C10 - COHAB/METRO SANTANA,21502,56579,2702,11326,1519,40863,132,14605,95,149323,79258,32130,260711,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971D10 - JD DAMASCENO/CENTER NORTE,23707,57355,2262,11766,1368,44853,128,7594,48,149081,82071,29769,260921,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971M10 - VILA PENTEADO/METRO SANTANA,25211,59037,2495,11372,1527,44465,112,8296,64,152579,92121,35482,280182,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971R10 - ESTACAO JARAGUA/METRO SANTANA,62604,135173,5035,29194,3221,107268,282,57739,158,400674,191761,68904,661339,,
AREA 2,CONCESSAO,2014-12-01,SAMBAIBA,971R21 - JD DAMASCENO/METRO SANTANA,604,3679,106,634,49,3263,1,2,5,8343,1638,565,10546,,
