AREA,TIPO,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
","PASSAGEIROS PAGANTES
","PASSAGEIROS INTEGRAÇÕES ÔNIBUS 0> ÔNIBUS
","PASSAGEIROS COM GRATUIDADE
",TOTAL PASSAGEIROS TRANSPORTADOS,nome,letreiro
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,178L10 - LAUZANE PAULISTA/HOSP CLINICAS,30897,76351,274,6160,0,61419,0,19280,1,194382,73520,20885,288787,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,178L22 - LAUZANE PAULISTA/METRO SANTANA,163,1224,8,60,0,1214,0,11,0,2680,109,51,2840,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,178T10 - METRO SANTANA/CEASA,30072,65251,182,4210,0,49924,1,13861,1,163502,112338,25368,301208,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,200110 - TERM BANDEIRA/TERM PRINC ISABE,283,2457,34,127,0,1481,0,314,0,4696,7223,1529,13448,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,201010 - JD BRASIL/METRO TIETE,25145,51279,111,3379,0,38090,0,10806,0,128810,53118,19427,201355,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,201021 - PÇA AUGUSTA VITORIA/METRO SANT,317,1842,6,116,0,2209,0,10,0,4500,402,263,5165,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,201031 - JD BRASIL/METRO TIETE,17256,37123,70,2392,0,32393,0,12570,0,101804,35269,17228,154301,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,201110 - EDU CHAVES/METRO SANTANA,27707,55941,182,3411,0,41790,0,7953,2,136986,71002,36689,244677,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,209C10 - CENTER NORTE/VILA MADALENA,9285,26070,107,1406,0,24432,1,4149,0,65450,42179,7456,115085,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,209P10 - CACHOEIRINHA/TERM PINHEIROS,38200,106287,558,5712,0,122205,0,32602,2,305566,244116,25575,575257,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,210310 - JD BRASIL/PRAÇA DO CORREIO,190,603,1,18,0,544,0,83,0,1439,401,47,1887,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,212310 - VILA MEDEIROS/METRO LIBERDADE,31583,44697,114,2094,0,29469,4,9115,7,117083,46808,15797,179688,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,212710 - JD BRASIL/METRO LIBERDADE,38920,51647,118,2267,0,34376,1,6853,0,134182,49597,18985,202764,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,216110 - PQ EDU CHAVES/PCA DO CORREIO,20329,28507,66,1277,0,19300,1,2295,3,71778,29985,15379,117142,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,217110 - PC DA ALEGRIA/PQ D PEDRO II,5986,10577,17,370,0,6588,0,849,0,24387,12328,5596,42311,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,217510 - JD GUANCA/PCA DA SE,10229,16739,40,828,0,11971,0,1733,0,41540,16118,7386,65044,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,217531 - JD GUANCA / PRACA DA SE,1788,3377,27,198,0,2035,0,299,0,7724,3596,1710,13030,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,218210 - JD BRASIL/PCA DO CORREIO,41825,64287,178,2779,0,40984,7,5507,5,155572,73065,28886,257523,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271A10 - TERM PENHA/METRO SANTANA,25306,56437,154,3039,0,45195,10,14844,1,144986,94092,22600,261678,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271A51 - CANGAIBA/METRO SANTANA,19279,38880,117,2134,0,26207,10,7527,5,94159,53610,16427,164196,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271C10 - PQ VILA MARIA/PCA DA REPUBLICA,11426,25779,88,1198,0,20846,5,2088,2,61432,20939,7531,89902,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271F10 - METRO BELEM/SHOP CENTER NORTE,16277,37297,130,1701,0,33267,0,10002,0,98674,72951,15421,187046,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271M10 - PQ NOVO MUNDO/METRO SANTANA,20298,44049,112,2499,0,33933,3,14231,0,115125,57036,17526,189687,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,271P10 - CANGAIBA/EST DA LUZ,18613,31020,57,1699,0,21948,0,4613,0,77950,37680,14630,130260,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,272N10 - PQ NOVO MUNDO/METRO BRAS,12761,16666,21,632,0,11356,4,899,1,42340,15029,6469,63838,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,274010 - PEDRA BRANCA/METRO SANTANA,11290,28841,105,1723,0,16533,2,4993,1,63488,44558,14314,122360,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,274041 - HORTO FLORESTAL/CASA VERDE,3384,10660,34,971,0,6506,0,5621,1,27177,12457,7068,46702,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,278A10 - PENHA/CEASA,8388,26137,92,1350,0,16858,0,1177,0,54002,33560,10498,98060,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,297A10 - BAIRRO DO LIMAO/M BARRA FUNDA,6858,27117,202,1421,0,34272,0,35636,0,105506,48646,4401,158553,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,351F10 - JACANA/TERM CARRAO,25628,52017,122,2928,0,37215,4,1480,1,119395,55194,33418,208007,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,351F41 - JACANA/PQ NOVO MUNDO,4980,7217,17,383,0,6304,0,15,0,18916,10543,5116,34575,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,701A10 - PQ EDU CHAVES/METRO V MADALENA,53881,79449,272,4388,0,47883,4,13989,8,199874,72662,33596,306132,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,701U10 - JACANA/BUTANTA USP,15699,43791,271,3740,0,27061,2,6557,0,97121,62126,11648,170895,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,701U21 - JAÇANA/PINHEIROS,818,1513,0,124,0,1154,0,390,0,3999,2848,715,7562,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,879A10 - TERM BARRA FUNDA/ANHEMBI,24,54,2,2,0,22,0,8,0,112,41,17,170,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,907010 - JD PAINEIRAS/TERM CASA VERDE,2718,6356,8,367,0,4880,0,10,0,14339,4662,1875,20876,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,916610 - JD SANTA CRUZ/PÇA DO CORREIO,724,4804,15,251,0,4548,0,1,0,10343,11196,1734,23273,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,930010 - TERM.CASA VERDE-PQ.D.PEDRO II,10364,36611,196,1522,0,23251,0,1858,0,73802,89002,16096,178900,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,935410 - N SRA FATIMA/TERM CORREIO,18834,41804,181,2480,0,32662,1,1903,0,97865,52395,14026,164286,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,967A10 - IMIRIM/PINHEIROS,23709,46783,158,3132,0,41270,0,7195,2,122249,44793,13614,180656,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,970110 - ANHEMBI/METRO BARRA FUNDA,4355,15246,48,853,0,15390,0,5244,0,41136,14718,3995,59849,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971A10 - JD PRIMAVERA/METRO SANTANA,16569,39162,82,2706,0,29875,0,9669,0,98063,44348,14561,156972,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971C10 - COHAB/METRO SANTANA,18800,55109,146,3560,0,38693,0,14837,5,131150,74723,22611,228484,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971D10 - JD DAMASCENO/CENTER NORTE,23049,59776,168,4084,0,46906,6,8718,0,142707,83477,26231,252415,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971M10 - VILA PENTEADO/METRO SANTANA,23650,60677,210,3819,0,46734,0,7929,0,143019,90604,28203,261826,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971R10 - ESTACAO JARAGUA/METRO SANTANA,54619,134557,335,9087,0,105036,3,56976,4,360617,191563,51721,603901,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971R21 - JD DAMASCENO/METRO SANTANA,827,4770,12,195,0,4011,0,4,0,9819,1976,570,12365,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971R42 - CDHU VOITH/METRO SANTANA,5490,17196,66,1116,0,11946,0,3637,0,39451,21693,6054,67198,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971R51 - CHICA LUISA/METRO SANTANA,652,2915,5,102,0,2610,0,12,0,6296,2320,387,9003,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971T10 - VILA SANTA MARIA/METRO SANTANA,19531,48891,143,3845,0,33912,0,23694,0,130016,52041,17420,199477,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971V10 - JD VISTA ALEGRE/CENTER NORTE,19772,46849,121,2777,0,35323,0,6767,1,111610,55508,19192,186310,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971X10 - TERM CACHOEIRINHA/METRO SANTAN,29328,91040,442,6098,0,61770,4,41136,1,229819,208693,35619,474131,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,971X51 - T.CACHOEIRINHA/T.AMARAL GURGEL,372,495,3,8,0,440,0,79,0,1397,1131,120,2648,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,CC0110 - ANHEMBI/BRAS,2,5,,0,,8,,7,,22,9,1,32,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,EVENTO - E V E N T O,3,0,,0,,0,,0,,3,0,0,3,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,PAESE1 - PAESE AREA 1,0,10,,3,,13,,6,,32,12,0,44,,
AREA 2,CONCESSAO,2014-01-01,SAMBAIBA,PMETRO - PAESE METRO,72,130,,4,,140,,12,,358,185,35,578,,
AREA 2,PERMISSAO,2014-01-01,FENIX,120610 - PQ VILA MARIA/CORREIO,33842,48677,80,1773,0,40596,5,3959,4,128936,51367,21634,201937,,
AREA 2,PERMISSAO,2014-01-01,FENIX,170210 - JOVA RURAL/TIETE,39992,82891,153,5139,0,61026,6,9347,0,198554,100335,36056,334945,,
AREA 2,PERMISSAO,2014-01-01,FENIX,172K10 - JD TREMEMBE/TATUAPE,42461,79085,187,5249,0,61004,0,25071,1,213058,94462,50291,357811,,
AREA 2,PERMISSAO,2014-01-01,FENIX,172U10 - CEM P PINHEIROS/MOOCA,60458,109024,244,5858,0,66680,5,5448,0,247717,112330,45806,405853,,
AREA 2,PERMISSAO,2014-01-01,FENIX,177X10 - JD PERY ALTO/METRO V MADALENA,44562,95444,300,5865,0,78100,4,32391,4,256670,119406,37021,413097,,
AREA 2,PERMISSAO,2014-01-01,FENIX,179X10 - JD FONTALIS/BOM RETIRO,44134,94815,161,5483,0,71070,5,11681,1,227350,115343,37601,380294,,
AREA 2,PERMISSAO,2014-01-01,FENIX,201310 - JD ROBRU/EST ITAIM PAULISTA,19270,51783,175,3112,0,43523,0,69,0,117932,106991,35717,260640,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,101610 - CEMITERIO DO HORTO/CENTER NORT,34726,69120,254,5424,0,59458,0,20515,0,189497,95379,52977,337853,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,101810 - VILA ROSA/SANTANA,21935,46884,155,3619,0,27388,0,15245,4,115230,65121,33247,213598,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,118Y10 - LAUZANE PAULISTA/LAPA,31075,71259,171,4278,0,75225,1,8315,0,190324,96133,39645,326102,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,121G10 - PQ NOVO MUNDO/JACANA,19197,38286,74,2637,0,32665,0,23267,0,116126,40038,21805,177969,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,128Y10 - JD PERY ALTO/LAPA,19478,43678,78,1988,0,43049,1,3829,0,112101,54829,16963,183893,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,138Y10 - CASA VERDE ALTA/LAPA,24894,57267,170,3015,0,45900,0,30306,0,161552,80958,24899,267409,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,170110 - JOVA RURAL / ANEHEMBI,20596,52279,96,3715,0,42053,1,16531,0,135271,72630,26663,234564,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,170151 - JOVA RURAL/CARANDIRU          ,1743,7033,12,327,0,5643,0,1038,0,15796,5732,2050,23578,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,170510 - JD SAO JOAO /METRO TUCURUVI,22461,73764,175,5171,0,53578,0,50003,3,205155,82835,39058,327048,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,170910 - JD JOAMAR/METRO TUCURUVI,21582,62079,212,5940,0,44359,0,45319,11,179502,68610,46006,294118,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,170921 - JD JOAMAR/METRO SANTANA,1025,4720,16,382,0,5123,0,1268,1,12535,2465,2033,17033,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172010 - JD GUANCA/CANTAREIRA,37871,81748,194,6577,0,63860,0,51957,0,242207,85451,59233,386891,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172021 - VILA SABRINA/METRO TUCURUVI,11627,29281,109,2635,0,26259,0,35356,0,105267,23415,17897,146579,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172210 - JD MARINA/TUCURUVI,49373,108764,376,6651,0,72049,2,27065,1,264281,229645,70184,564110,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172J10 - JD BRASIL/TATUAPE,46626,84049,179,5358,0,76523,5,35144,0,247884,125130,42172,415186,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172P10 - VILA ZILDA/METRO BELEM,72818,114295,212,6262,0,86356,3,21317,13,301276,151034,82372,534682,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172R10 - JD BRASIL/METRO BELEM,56172,103872,310,6019,0,94954,13,34748,17,296105,185989,78667,560761,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172X10 - PQ NOVO MUNDO/TATUAPE,29176,65631,136,4030,0,75142,8,38094,0,212217,94282,24236,330735,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,172Y10 - VILA CONSTANÇA/METRO BELEM,25428,54390,185,3203,0,46648,2,17184,3,147043,69825,43106,259974,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,173010 - CENTER NORTE/SANTANA,5482,16912,68,1392,0,25230,0,2748,0,51832,32827,6359,91018,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,173810 - VILA CONSTANCIA/METRO CARANDIR,11337,25466,103,1681,0,19038,0,14682,0,72307,22576,24468,119351,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,177510 - VILA ALBERTINA/CENTER NORTE,5885,10377,31,857,0,6616,0,1527,0,25293,11465,7180,43938,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178010 - JD HEBRON/TERM PARADA INGLESA,14198,44871,75,2598,0,36604,0,23033,0,121379,40343,22434,184156,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178510 - VILA AURORA/METRO SANTANA,8378,21842,73,1247,0,14793,0,11640,0,57973,24309,13345,95627,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178610 - VILA ALBERTINA/METRO SANTANA,26887,59885,176,3997,0,36166,0,22219,1,149331,72460,32151,253942,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178710 - VILA MARIETA/METRO SANTANA,10646,29556,40,2288,0,17529,0,16370,6,76435,35196,16041,127672,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178Y10 - VILA AMELIA/METRO JD SAO PAULO,13675,44038,244,4402,0,29174,0,41777,0,133310,45966,30407,209683,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,178Y21 - CJ DOS BANCARIOS/M JD SAO PAUL,152,1197,12,29,0,1013,0,6,0,2409,232,276,2917,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,900210 - JD PERY ALTO/TERM V N CACHOEIR,9871,45251,86,2107,0,37083,0,46,0,94444,94279,17782,206505,,
AREA 2,PERMISSAO,2014-01-01,TRANSCOOPER,PACPTM - PAESE CPTM,15,28,,0,,32,,4,,79,32,9,120,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,271310 - METRO PENHA-CHAC BELA VISTA,708,4484,0,318,0,3694,0,1484,0,10688,4890,1294,16872,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,274P10 - PENHA/METRO VL MARIANA,11618,27585,87,1551,0,18135,0,4838,0,63814,30838,14619,109271,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,320610 - METRO PENHA/CONJ CHAPARRAL,1433,3687,14,784,0,2070,0,1455,0,9443,6225,840,16508,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,368610 - JD.SAOPAULO-TERM.D.PEDRO II,20,60,,5,,22,,1,,108,131,28,267,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,390E10 - TERM PENHA/TERM PQ D PEDRO II,1346,4742,66,181,0,2304,0,295,2,8936,10029,1658,20623,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,393C10 - T AMARAL GURGEL/COHAB II,643,1800,5,31,0,1564,0,72,0,4115,1709,392,6216,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,431010 - E.T.ITAQUERA/TERM PQ D PEDRO  ,8,109,,11,,82,,20,,230,160,28,418,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,431510 - T VILA CARRAO/T PQ D PEDRO II ,8579,46181,283,2223,0,30597,0,5267,4,93134,86662,15838,195634,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,508L10 - TERM.PRIN.ISABEL/ACLIMACAO,14160,32388,144,1813,0,23330,0,6363,4,78202,42237,14029,134468,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,696P10 - T AMARAL GURGEL/PINHEIROS,333,833,0,18,0,922,0,54,0,2160,349,115,2624,,
AREA 3,CONCESSAO,2014-01-01,EXPANDIR,805L10 - TERM.PRINC.ISABEL/ACLIMACAO,11874,31955,116,1754,0,24107,0,5923,3,75732,41714,12305,129751,,
