TIPO,AREA,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
",PASSAGEIROS PAGANTES,"PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

","PASSAGEIROS COM GRATUIDADE

","TOTAL PASSAGEIROS TRANSPORTADOS
",
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971A10 - JD PRIMAVERA/METRO SANTANA," 15,824 "," 36,355 "," 3,899 "," 5,449 "," 1,086 "," 28,491 ", 456 ," 9,720 ", 297 ," 101,577 "," 44,387 "," 23,885 "," 22,040 "," 191,889 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971C10 - COHAB/METRO SANTANA," 17,062 "," 50,447 "," 6,340 "," 5,532 "," 1,344 "," 39,223 ", 923 ," 11,968 ", 521 ," 133,360 "," 69,164 "," 34,523 "," 35,822 "," 272,869 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971D10 - JD DAMASCENO/CENTER NORTE," 18,882 "," 52,939 "," 5,752 "," 5,192 "," 1,190 "," 45,543 "," 1,047 "," 7,176 ", 567 ," 138,288 "," 75,074 "," 35,849 "," 37,970 "," 287,181 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971M10 - VILA PENTEADO/METRO SANTANA," 19,505 "," 50,720 "," 5,860 "," 6,281 "," 1,353 "," 40,748 "," 1,009 "," 6,773 ", 505 ," 132,754 "," 80,627 "," 39,891 "," 32,240 "," 285,512 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971R10 - ESTACAO JARAGUA/METRO SANTANA," 47,655 "," 116,271 "," 13,870 "," 13,343 "," 3,066 "," 99,690 "," 1,958 "," 48,719 "," 1,843 "," 346,415 "," 167,304 "," 77,806 "," 92,475 "," 684,000 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971R21 - JD DAMASCENO/METRO SANTANA, 532 ," 3,635 ", 393 , 278 , 74 ," 3,214 ", 45 , -   , 17 ," 8,188 "," 1,330 ", 571 ," 1,776 "," 11,865 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971R42 - CDHU VOITH/METRO SANTANA," 4,120 "," 13,717 "," 1,671 "," 1,832 ", 391 ," 10,541 ", 208 ," 2,831 ", 187 ," 35,498 "," 18,283 "," 8,827 "," 10,939 "," 73,547 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971R51 - CHICA LUISA/METRO SANTANA, 556 ," 2,370 ", 221 , 215 , 39 ," 2,487 ", 28 , 66 , 21 ," 6,003 "," 1,879 ", 625 ," 1,483 "," 9,990 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971T10 - VILA SANTA MARIA/METRO SANTANA," 16,929 "," 40,575 "," 4,547 "," 7,129 "," 1,419 "," 30,112 ", 523 ," 17,683 ", 720 ," 119,637 "," 46,198 "," 26,011 "," 28,660 "," 220,506 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971V10 - JD VISTA ALEGRE/CENTER NORTE," 18,372 "," 44,485 "," 4,844 "," 4,579 "," 1,078 "," 37,307 ", 736 ," 5,605 ", 383 ," 117,389 "," 54,041 "," 29,437 "," 29,743 "," 230,610 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,971X10 - TERM CACHOEIRINHA/METRO SANTAN," 25,718 "," 76,632 "," 12,564 "," 12,591 "," 3,427 "," 55,326 "," 1,404 "," 33,762 "," 1,508 "," 222,932 "," 187,111 "," 54,636 "," 65,727 "," 530,406 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,CT0101 - CIRCULAR TURISMO, 116 , 230 , 17 , 26 , 2 , 220 , 4 , 73 , 1 , 689 , 280 , 104 , 122 ," 1,195 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20111 - TERM PQ D PEDRO/METRO TUCURUVI," 1,929 "," 1,389 ", 149 , 56 , 19 , 981 , 49 , 173 , 26 ," 4,771 "," 1,812 ", 515 , 602 ," 7,700 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20211 - MET SANTANA/TERM PINHEIROS, 618 ," 1,956 ", 214 , 119 , 23 ," 1,523 ", 20 , 107 , 47 ," 4,627 "," 1,060 ", 285 , 391 ," 6,363 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20311 - MET TUCURUVI/TERM PQ D PEDRO ," 1,531 "," 2,085 ", 313 , 108 , 32 ," 1,782 ", 20 , 141 , 79 ," 6,091 "," 4,450 ", 984 , 822 ," 12,347 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20411 - METRO TUCURUVI/TERM PQ D PEDRO," 1,186 ", 512 , 49 , 13 , 2 , 532 , 4 , 50 , 25 ," 2,373 "," 1,023 ", 269 , 203 ," 3,868 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20511 - TERM CACHOEIRINHA/TERM PINHEIR, 895 ," 2,212 ", 202 , 118 , 16 ," 1,968 ", 38 , 124 , 28 ," 5,601 "," 1,863 ", 395 , 542 ," 8,401 "
CONCESSAO,AREA 2,2015-11-01,SAMBAIBA,N20611 - TERM CASA VERDE/METRO SANTANA, 298 , 408 , 30 , 35 , 5 , 300 , 7 , 46 , -   ," 1,129 ", 512 , 146 , 242 ," 2,029 "
