Tipo,Area,Data,Empresa,Linha,Soma de Passageiros Pagtes Em Dinheiro,Soma de Passageiros Pagtes Comum,Soma de Passageiros Pgts Bu Comum M,Soma de Passageiros Pagtes Estudante,Soma de Passageiros Pgts Bu Est Mensal,Soma de Passageiros Pagtes Bu Vt,Soma de Passageiros Pgts Bu Vt Mensal,Soma de Passageiros Pagtes Int M/Cptm,Soma de Passageiros Pgts Int M/Cptm M,Soma de Passageiros Pagantes,Soma de Passageiros Int Ônibus->Ônibus,Soma de Passageiros Com Gratuidade,Soma de Passageiros Com Gratuidade Est,Soma de Tot Passageiros Transportados
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,800001 - TERM LAPA/PCA RAMOS DE AZEVEDO,10246,31210,4379,1051,2,23565,5,5228,4,75690,58716,36877,434,171717
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,830001 - TERM PIRITUBA/TERM LAPA,1050,3981,420,106,0,2923,0,1191,0,9671,9126,4048,98,22943
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU,2097,7513,613,214,0,7398,0,225,1,18061,7060,5918,60,31099
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,12319,40037,3411,810,3,31383,1,2491,3,90458,38468,33318,407,162651
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854221 - BRASILANDIA/TERMINAL LAPA,970,2466,364,49,1,2262,1,167,0,6280,3521,3393,35,13229
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,5567,20057,2192,441,0,17567,0,5204,0,51028,26135,20943,268,98374
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,10754,33819,3493,876,3,28278,8,9082,4,86317,52544,35785,473,175119
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA,103,892,81,24,1,1409,0,0,0,2510,861,366,3,3740
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,1420,5834,571,138,0,4385,0,9,0,12357,9155,6874,68,28454
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,11200,39422,3962,1495,3,32375,4,4022,0,92483,48036,26289,280,167088
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA,902,4345,353,141,1,4742,0,210,0,10694,4542,1663,27,16926
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,12520,36987,4698,615,4,37435,5,13142,1,105407,107350,26965,697,240419
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,14249,48689,9229,1393,9,64601,4,51870,3,190047,148505,38206,1087,377845
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,N10511 - TERM CACHOEIRINHA/TERM LAPA,803,1305,184,7,0,998,0,104,0,3401,4035,883,22,8341
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,N14311 - METRO BARRA FUNDA/MORRO GRANDE,201,403,86,4,0,658,0,199,0,1551,650,315,10,2526
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,RNOT11 - RESERVA NOTRNA,4,0,0,0,0,0,0,0,0,4,0,0,0,4
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,101910 - SOL NASCENTE/TERMINAL PIRITUBA,3668,13188,737,329,0,11951,0,3675,0,33548,17728,7985,270,59531
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,119L01 - VILA SULINA/TERMINAL LAPA,200,800,22,9,0,955,0,139,0,2125,468,186,4,2783
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,129F10 - CONEX PETRON PORT/M BARRA FUND,15184,55052,9257,2279,7,56121,8,44044,9,181961,178122,59721,1136,420940
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,129F41 - CON PETRON PORT/PCA DO CORREIO,713,4264,446,87,0,4429,2,343,1,10285,8182,1666,24,20157
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,189610 - JARAGUA/PRAÇA RAMOS DE AZEVEDO,16180,33458,2745,1113,1,31566,0,5981,0,91044,35716,28004,72,154836
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,189L10 - VILA LORIO/LAPA,11853,46712,8435,923,3,43909,0,31468,0,143303,212057,51362,1051,407773
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,199D10 - VILA LORIO/TERMINAL PINHEIROS,17633,69569,8363,1719,3,52306,5,11059,0,160657,105612,38253,552,305074
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,209P01 - CACHOEIRINHA/TERM PINHEIROS,9100,33115,5483,923,5,34519,0,13147,1,96293,78278,15868,451,190890
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS,10883,32991,4736,1097,11,25603,2,5352,1,80676,62574,40703,415,184368
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA,7072,12383,1092,265,2,12969,2,4968,0,38753,19862,10277,156,69048
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA,6994,19844,1348,546,0,12670,0,5785,1,47188,25850,15250,247,88535
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA,8221,15190,1404,357,1,18129,6,8989,1,52298,28508,12970,311,94087
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA,13729,30081,2032,754,10,27737,0,8454,0,82797,34294,23817,445,141353
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA,7039,27340,2493,354,0,22133,1,3526,0,62886,36449,18984,499,118818
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA,7133,22001,1800,520,2,20755,0,10779,1,62991,29618,14237,559,107405
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA,9723,27384,2051,613,3,23903,0,9520,3,73200,41796,21107,589,136692
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA,2618,6377,430,167,1,5424,0,1245,2,16264,8106,4939,142,29451
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA,7073,16281,1529,452,1,17236,1,7075,0,49648,20551,15746,456,86401
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA,22668,48532,2710,1068,0,56647,4,13617,1,145247,61784,28162,898,236091
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,804310 - VILA NOVA ESPERANÇA/LAPA,4582,10704,513,265,1,9257,0,716,0,26038,9828,8350,184,44400
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,804710 - JARAGUA/LAPA,21843,39452,1976,772,4,47969,0,5058,2,117076,58405,26277,832,202590
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,804741 - JARAGUA/METRO VILA MADALENA,6452,12203,883,398,1,12942,0,2672,0,35551,10370,6227,159,52307
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,804751 - RECANTO DOS HUMILDES/LAPA,390,1021,44,15,0,1666,0,26,0,3162,953,242,9,4366
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA,15117,29757,2046,544,1,28474,16,11604,0,87559,42819,18195,396,148969
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,805021 - ANHANGUERA/LAPA,318,2852,119,22,0,2920,0,3,0,6234,556,575,12,7377
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,805031 - PQ MORRO DOCE/LAPA,7799,16437,838,219,1,19057,0,2073,0,46424,19465,7087,255,73231
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,805510 - PERUS/LAPA,22889,40443,2414,712,2,54327,8,22509,3,143307,71199,27722,841,243069
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,805551 - PERUS/BARRA FUNDA,13395,25229,1739,475,5,35311,11,10374,1,86540,28807,15425,456,131228
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,806010 - VILA PIAUI/LAPA,12247,22377,1786,569,1,21257,4,7114,0,65355,27374,16565,396,109690
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,806210 - PQ S DOMINGOS/LAPA,2505,4927,290,114,2,4212,0,530,1,12581,4402,5365,55,22403
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,806510 - VILA CLARICE/LAPA,2471,5918,370,198,0,5571,0,2194,0,16722,5846,6112,115,28795
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,810010 - TERMPIRITUBA/TERM LAPA,10404,37075,3598,1327,3,35866,1,10974,2,99250,83711,29416,838,213215
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,820010 - TERM PIRITUBA/TERMPIRITUBA,4345,11434,1275,357,2,9554,1,4498,0,31466,27401,17108,280,76255
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,821510 - JD PAULISTANO/PCA DO CORREIO,11143,30445,2979,544,0,26071,1,1057,0,72240,38492,21300,254,132286
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,830010 - TERM PIRITUBA/TERM LAPA,5056,18214,2004,464,0,14422,0,7165,0,47325,45731,17818,392,111266
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,840010 - TERM PIRITUBA/PCA RAMOS,23488,75838,10216,2335,28,62162,2,9561,2,183632,153600,63858,1147,402237
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,846M10 - JD MARISA/SHOP IBIRAPUERA,5961,12395,1315,398,1,10134,0,2693,0,32897,11966,6084,121,51068
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,847J10 - CITY JARAGUA/JAGUARE,8703,27855,2397,474,1,27284,1,2817,4,69536,30983,12154,298,112971
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,847J21 - CITY JARAGUA/LAPA,423,954,142,10,0,963,0,5,0,2497,1297,819,16,4629
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,847P10 - TERM PIRITUBA/ITAIM BIBI,25664,84011,11058,3168,3,76115,9,19097,1,219126,149138,41850,893,411007
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,847P42 - VILA BRASILANDIA/ITAIM BIBI,4605,17281,2102,671,2,16105,1,4158,0,44925,23041,8173,135,76274
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,850010 - TERM PIRITUBA/BARRA FUNDA,12329,41623,7372,1860,3,60088,7,35487,3,158772,107903,40317,894,307886
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,852810 - JD GUARANI/PCA DO CORREIO,16070,50137,4633,964,3,49575,4,1910,0,123296,53552,32354,457,209659
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,854410 - CID DABRIL 3 GLEBA/PC RAMOS AZ,5902,15744,1781,320,1,18487,0,2934,1,45170,20829,10289,208,76496
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,854810 - JD DOS CUNHAS/PCA DO CORREIO,7195,22428,2199,344,6,19275,5,4406,0,55858,29414,15209,270,100751
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,854910 - TAIPAS/PCA DO CORREIO,20227,48886,4979,953,16,41206,1,3128,0,119396,50397,36165,576,206534
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,859410 - CID DABRIL/PCA RAMOS AZEVEDO,29052,68413,7690,1840,22,62770,6,12552,3,182348,93713,53944,1096,331101
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,859421 - CID PIRITUBA/PCA RAMOS AZEVEDO,219,1079,134,12,0,1258,0,2,0,2704,698,364,8,3774
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,859441 - COHAB PEDRA VERDE/PCA RAMOS AZ,690,2551,235,21,0,2638,0,6,0,6141,1644,776,17,8578
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,860010 - TERM PIRITUBA/LGO PAISSANDU,13373,44419,5212,936,3,42764,5,2548,0,109260,89701,25726,549,225236
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,860022 - TERM PIRITUBA/LGO DO PAISSANDU,647,2342,398,47,0,2473,0,56,0,5963,6627,943,12,13545
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,862210 - MORRO DOCE/PCA RAMOS DE AZEVED,40033,87225,6355,1653,4,89122,0,16999,0,241391,89225,40013,1234,371863
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,862231 - MORRO DOCE/PCA RAMOS DE AZEVED,62,88,5,1,0,87,0,6,0,249,103,36,0,388
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,867710 - JD LIBANO/PCA RAMOS DE AZEVEDO,26473,51332,3816,1236,6,52360,0,8514,1,143738,56054,37412,808,238012
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,868610 - MANGALOT/PCA RAMOS AZEVEDO,10132,21851,1927,660,4,20566,2,4227,1,59370,20057,15821,242,95490
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,868621 - MANGALOT/TERMINAL PIRITUBA,468,797,70,26,0,996,0,222,0,2579,959,782,12,4332
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,869610 - JARAGUA/PCA RAMOS AZEVEDO,1094,1803,193,79,0,2054,0,328,0,5551,2341,1460,279,9631
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,869641 - JARAGUA/PCA RAMOS AZEVEDO,1138,2085,198,58,0,2246,0,353,0,6078,2342,1644,329,10393
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,888P10 - PERUS/COHAB TAIPAS,21873,37604,2565,778,16,36597,2,16303,1,115739,52567,44295,940,213541
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,901210 - ITABERABA/TERM LAPA,2415,9559,945,211,1,10097,0,3826,0,27054,12238,8152,69,47513
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,917H10 - MERCADO PIRITUBA/VLA MARIANA,53030,115828,12453,5332,17,89983,4,25808,2,302457,165241,75687,1559,544944
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,930110 - TERM CASA VERDE/PAISSANDU,12287,34321,3276,840,2,25802,0,2714,0,79242,38999,22969,280,141490
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,938C10 - COHAB TAIPAS/TERM PRINC ISABEL,8741,24462,2592,546,6,22901,0,1924,0,61172,27225,21650,312,110359
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,938C21 - COHAB TAIPAS/TERMINAL LAPA,529,923,137,17,0,919,0,124,0,2649,1406,1255,10,5320
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,948A10 - VL ZATTI/TERM PIRITUBA,6630,22087,2289,618,3,20893,0,4740,0,57260,23259,16549,303,97371
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,950010 - TERM CACHOEIRINHA/PAISSANDU,16208,47009,5384,994,3,37877,0,3168,1,110644,78721,33123,433,222921
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,950110 - TERM  CACHOEIRINHA/PAISSANDU,30320,115540,12862,2015,3,104067,15,5934,8,270764,233929,57441,1135,563269
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,957T10 - COHAB TAIPAS/ITAIM BIBI,15648,44575,4379,1300,14,42096,22,7844,1,115879,58736,24858,423,199896
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,958P10 - JD NARDINI/COHAB TAIPAS,10876,27232,2339,966,0,28050,12,5973,0,75448,31222,13941,348,120959
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,965310 - PEDRA BRANCA/LGO DO PAISSANDU,24535,61324,6025,1393,7,49946,14,2571,1,145816,78648,47618,656,272738
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,975A10 - VILA BRASILANDIA/METRO ANA ROS,10108,36539,4193,1431,1,29578,2,3658,0,85510,43475,19791,262,149038
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,978J10 - VOITH/PCA PRINC ISABEL,10643,33565,3345,602,6,30333,0,2598,0,81092,37852,23937,369,143250
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,978L10 - TERM CACHOEIRNHA/TERM P ISABEL,6740,24343,3143,731,8,20661,0,5948,0,61574,43167,19477,331,124549
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N10111 - TERM LAPA/TERM PQ D PEDRO II,426,1275,174,1,0,1430,0,92,0,3398,2757,656,12,6823
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N10211 - TERM LAPA/TERM PQ D PEDRO II,1328,3874,319,28,0,2974,1,347,0,8871,2872,1506,30,13279
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N10311 - TERM PIRITUBA/TERM LAPA,283,611,140,4,0,704,0,89,0,1831,1848,300,12,3991
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N10411 - TERM PIRITUBA/TERM LAPA,547,1327,207,15,1,886,0,301,0,3284,4609,776,25,8694
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N10611 - T PQ D PEDRO /MET BARRA FUNDA,501,1601,67,10,0,927,0,257,0,3363,956,589,9,4917
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13111 - TERM LAPA/VILA PIAUI,154,129,62,0,0,196,0,79,0,620,506,94,3,1223
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13211 - TERM PIRITUBA/PQ SAO DOMINGOS,72,198,31,0,0,296,0,47,0,644,564,86,7,1301
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13311 - TERM PIRITUBA/CID D ABRIL 3ª G,151,155,34,3,0,373,0,48,0,764,608,100,5,1477
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13411 - TERM CACHOEIRINHA/TAIPAS,475,878,148,6,0,912,0,2,0,2421,2565,622,17,5625
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13511 - TERM PIRITUBA/JD DONARIA,331,954,159,17,0,1139,1,191,0,2792,1840,456,26,5114
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,N13611 - TERM LAPA/MORRO DOCE,506,1012,178,9,0,1474,0,234,0,3413,1718,252,15,5398
CONCESSAO,AREA 1,2019-01-01,SANTA BRIGIDA,RNOT11 - RESERVA NOTRNA,22,2,0,0,0,1,0,0,0,25,10,2,0,37
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,106A10 - METRO SANTANA / ITAIM BIBI,23910,71248,8318,2378,4,74994,21,12038,1,192912,123322,46754,699,363687
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,107P10 - MANDAQUI/PINHEIROS,2,18,4,0,0,17,0,7,0,48,48,13,0,109
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,107T10 - CID UNIVERSIT/ METRO TUCURUVI,11986,47045,7040,1428,6,36827,11,9021,1,113365,71066,33095,509,218035
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,115610 - VILA SABRINA/PC DO CORREIO,21483,45407,4026,1063,0,34772,11,5638,21,112421,45908,31164,509,190002
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,118C10 - JD PERY ALTO/METRO ST CECILIA,31548,80516,8550,1859,35,61713,11,13753,2,197987,85652,55452,1047,340138
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,119C10 - VILA SABRINA/TERM PRINC ISABEL,24237,31031,1699,690,0,22573,1,2184,1,82416,26144,22927,242,131729
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,148L10 - CACHOEIRINHA/LAPA,28730,74851,7141,1580,4,66042,16,9915,5,188284,111260,66158,881,366583
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,148L21 - CACHOEIRINHA/LAPA,0,1,0,0,0,0,0,0,0,1,0,0,0,1
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,148P10 - JD PERY/LAPA,24725,66513,6882,1640,1,52948,8,21742,0,174459,85713,62223,766,323161
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,170310 - CAMPO LIMPO/TERM PARADA INGLES,8575,21554,1791,387,5,20108,5,1662,1,54088,27674,16398,441,98601
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,172110 - VILA EDE/METRO CARANDIRU,17610,42768,4331,1578,1,40514,0,33303,1,140106,43990,48650,702,233448
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,172610 - VILA ZILDA/METRO SANTANA,21163,66598,5734,951,3,41527,0,9170,1,145147,80461,38120,834,264562
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,172N10 - SHOP CENTER NORTE/METRO BELEM,14417,43112,4164,1098,1,40543,4,8031,2,111372,68592,40786,523,221273
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,172N22 - CATUMBI/METRO BELEM,11,57,4,0,0,621,0,2,0,695,16,21,8,740
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,173210 - VILA SABRINA/METRO SANTA CECIL,14966,40046,3901,1101,1,38595,1,5216,1,103828,39801,34897,376,178902
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174110 - VILA DIONIZIA/METRO SANTANA,13471,42713,4686,1521,18,34653,2,20966,0,118030,44375,24929,550,187884
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174210 - JD ANTARTICA/METRO SANTANA,12977,37831,4525,1113,5,32199,14,16966,1,105631,45442,30637,523,182233
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174310 - JD PERY ALTO/METRO TIETE,20476,57361,5976,1795,6,46002,0,13844,5,145465,62240,29926,790,238421
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174410 - LAUZANE PAULISTA/METRO SANTANA,9940,27777,2852,1349,5,20606,8,18056,0,80593,33772,25626,394,140385
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174510 - VL NV CACHOEIRINHA/SHOP C NORT,7287,22084,2592,895,2,19690,2,7183,0,59735,24176,16203,380,100494
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174541 - V N CACHOEIR/UNIP V GUILHERME,0,24,5,1,0,7,0,17,0,54,39,12,0,105
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,174M10 - JD BRASIL/MUSEU IPIRANGA,18407,44737,4098,1106,0,30330,25,4973,0,103676,46675,37794,411,188556
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175610 - PEDRA BRANCA/METRO SANTANA,9256,25204,2833,870,8,20730,5,13282,0,72188,30284,23427,397,126296
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175710 - CONJ BANCARIOS/METRO SANTANA,2562,11479,1150,499,0,9353,1,2600,0,27644,8911,9243,113,45911
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175810 - JD ANTARTICA/METRO SANTANA,15881,42207,4662,1178,1,33713,13,22125,1,119781,51738,30213,601,202333
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175910 - JD PERY/METRO SANTANA,15897,42612,4705,1315,4,35514,3,25065,4,125119,51992,31641,591,209343
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175P10 - EDU CHAVES/ANA ROSA,18855,65040,8597,3054,4,51359,13,25465,1,172388,90276,43159,700,306523
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,175T10 - METRO SANTANA/METRO JABAQUARA,33431,84291,10671,2907,3,86722,28,20863,6,238922,161258,56912,1348,458440
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,176010 - COHAB ANTARTICA/SHOP C NORTE,9250,27015,2751,874,6,26907,0,6874,1,73678,25720,16224,403,116025
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,176410 - JD CORISCO/METRO SANTANA,10776,42574,3669,783,1,27662,1,5749,1,91216,47250,26863,616,165945
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,176510 - JD CABUÇU/METRO TUCURUVI,8186,18927,2213,579,10,19131,5,18024,0,67075,18352,21521,393,107341
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,176710 - EDU CHAVES/METRO TUCURUVI,12655,24535,2857,967,5,23759,2,25120,0,89900,23676,34688,436,148700
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177110 - VILA ZILDA/METRO SANTANA,6491,28883,2409,558,0,19821,1,3365,0,61528,30146,14613,404,106691
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177210 - JD FILHOS DA TERRA/METRO TUCUR,11259,37394,3917,662,0,32908,0,23013,0,109153,37004,24053,632,170842
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177310 - VILA AYROSA/METRO SANTANA,11008,27670,2359,327,2,18367,0,165,0,59898,27394,22983,387,110662
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177810 - JACANA/METRO SANTANA,4685,13818,1255,252,0,9903,4,1217,0,31134,14850,11709,133,57826
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177H10 - METRO SANTANA/BUTANTA- USP,12147,36062,3984,2402,0,28323,3,9232,2,92155,43435,26485,421,162496
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177H21 - METRO SANTANA/PINHEIROS,630,1291,225,45,0,1550,1,588,0,4330,2442,1889,24,8685
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,177Y10 - CASA VERDE/PINHEIROS,9794,37155,5410,1079,1,32287,2,17441,0,103169,59527,15281,327,178304
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178210 - V NOVA GALVAO/METRO SANTANA,9040,25053,1853,432,0,18781,1,1504,0,56664,26033,18215,344,101256
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178310 - CACHOEIRA/METRO SANTANA,15355,39328,2885,709,0,25420,4,6481,1,90183,47836,25057,613,163689
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178322 - JARDIM LABITARY/METRO SANTANA,176,1469,116,10,0,1059,0,0,0,2830,158,348,4,3340
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178341 - JD LABITARY/METRO PARD INGLESA,134,510,98,13,0,378,0,648,0,1781,863,349,13,3006
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178810 - JD FONTALIS/METRO SANTANA,9145,27338,2877,500,3,16618,3,4250,0,60734,37764,21629,494,120621
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178851 - JD CAMPO LIMPO/METRO SANTANA,310,1650,165,22,0,901,0,261,0,3309,1759,568,12,5648
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178A10 - IMIRIM/LAPA,8221,29434,3276,798,2,27478,1,3167,0,72377,41599,23259,284,137519
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178L10 - LAUZANE PAULISTA/HOSP CLINICAS,16355,55124,5027,2628,23,49087,0,10925,4,139173,48335,33072,468,221048
CONCESSAO,AREA 2,2019-01-01,SAMBAIBA,178T10 - METRO SANTANA/CEASA,19952,56928,6557,1827,5,44122,9,13100,0,142500,98003,51087,631,292221
