TIPO,DATA,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
",PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM,PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE,PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE,PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM,PASSAGEIROS PAGANTES,PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS,PASSAGEIROS COM GRATUIDADE,"TOTAL PASSAGEIROS TRANSPORTADOS
"
CONCESSAO,11/1/2013,AREA 3,VIP,390110 - Jd. Danfer/Metro Penha,"4,645","10,017","3,823","7,431","1,675","27,591","12,955","7,354","47,900"
CONCESSAO,11/1/2013,AREA 3,VIP,390210 - Jd. das Oliveiras/Guaianazes,"18,576","41,672","15,428","40,362","45,022","161,060","48,217","21,172","230,449"
CONCESSAO,11/1/2013,AREA 3,VIP,390310 - C.A.E.Carvalho/Shop.Penha,"5,525","15,957","5,464","9,401",410,"36,757","17,556","8,914","63,227"
CONCESSAO,11/1/2013,AREA 3,VIP,390E10 - TERM PENHA/TERM PQ D PEDRO II,"11,453","28,849","7,657","16,491","1,864","66,314","70,934","12,656","149,904"
CONCESSAO,11/1/2013,AREA 3,VIP,400110 - ITAQUERA/TERM VILA CARRAO,"9,206","32,021","10,486","20,130",338,"72,181","73,279","24,441","169,901"
CONCESSAO,11/1/2013,AREA 3,VIP,400210 - GUAIANAZES/TERM VILA CARRAO,"20,348","57,581","18,623","39,406","9,671","145,629","95,520","32,529","273,678"
CONCESSAO,11/1/2013,AREA 3,VIP,400251 - GUAIANAZES/PQ DOM PEDRO,371,524,66,529,29,"1,519",456,102,"2,077"
CONCESSAO,11/1/2013,AREA 3,VIP,407F10 - TERM SAO MATEUS/METRO BELEM,"13,297","37,125","11,626","25,308","3,144","90,500","51,546","18,519","160,565"
CONCESSAO,11/1/2013,AREA 3,VIP,407K10 - TERM SAO MATEUS/METRO CARRAO,"16,361","34,861","17,752","32,632","42,307","143,913","87,461","18,333","249,707"
CONCESSAO,11/1/2013,AREA 3,VIP,421010 - T CID TIRADENTES/T PQ D PEDRO,"26,101","84,803","24,601","59,411","2,123","197,039","142,700","29,439","369,178"
CONCESSAO,11/1/2013,AREA 3,VIP,431010 - E.T.ITAQUERA/TERM PQ D PEDRO  ,"15,486","118,535","43,654","79,114","11,293","268,082","460,803","43,050","771,935"
CONCESSAO,11/1/2013,AREA 3,VIP,431110 - TER SAO MATEUS/T PQ D PEDRO II,"12,771","43,642","15,391","38,296","6,984","117,084","94,474","11,494","223,052"
CONCESSAO,11/1/2013,AREA 3,VIP,431210 - JD MARILIA/TERM PQ D PEDRO II,"14,821","59,534","19,890","40,272","4,248","138,765","90,383","20,429","249,577"
CONCESSAO,11/1/2013,AREA 3,VIP,431310 - T CID TIRADENTES/T PQ D PEDRO ,"22,917","103,650","34,238","80,970","7,617","249,392","226,444","29,282","505,118"
CONCESSAO,11/1/2013,AREA 3,VIP,431410 - INACIO MONTEIRO/T PQ D PEDRO ,"19,631","64,320","21,344","41,362","3,814","150,471","90,082","24,939","265,492"
CONCESSAO,11/1/2013,AREA 3,VIP,431510 - T VILA CARRAO/T PQ D PEDRO II ,"9,206","43,263","15,616","32,823","5,724","106,632","104,677","17,766","229,075"
CONCESSAO,11/1/2013,AREA 3,VIP,637A10 - TERM JD ANGELA/PINHEIROS,2,0,0,0,0,2,0,0,2
CONCESSAO,11/1/2013,AREA 3,VIP,696P10 - T AMARAL GURGEL/PINHEIROS,19,46,22,30,10,127,66,24,217
CONCESSAO,11/1/2013,AREA 3,VIP,930P10 - TERM PQ D PEDRO II/PINHEIROS,0,0,0,0,0,0,1,0,1
CONCESSAO,11/1/2013,AREA 3,VIP,EVENTO - E V E N T O,21,0,0,0,0,21,0,0,21
CONCESSAO,11/1/2013,AREA 3,VIP,PACPTM - PAESE CPTM,284,0,0,0,0,284,0,0,284
CONCESSAO,11/1/2013,AREA 3,VIP,PAESE1 - PAESE AREA 1,243,"1,140",292,857,57,"2,589","1,515",447,"4,551"
CONCESSAO,11/1/2013,AREA 3,VIP,PAESE2 - PAESE AREA 2,130,772,249,614,47,"1,812","1,350",250,"3,412"
CONCESSAO,11/1/2013,AREA 3,VIP,PAESE3 - PAESE AREA 3,16,110,48,77,8,259,187,40,486
CONCESSAO,11/1/2013,AREA 3,VIP,PAESE4 - PAESE AREA 4,471,"2,780",888,"2,252",157,"6,548","4,496",860,"11,904"
PERMISSAO,11/1/2013,AREA 3,NOVA ALIANCA,213C10 - ITAIM PAULISTA/VILA CALIFORNIA,"44,122","79,145","24,326","69,384","2,353","219,330","138,750","57,795","415,875"
PERMISSAO,11/1/2013,AREA 3,NOVA ALIANCA,213C31 - ITAIM PAULISTA/VILA CALIFORNIA,"23,973","42,734","12,642","36,645","1,330","117,324","74,416","31,948","223,688"
PERMISSAO,11/1/2013,AREA 3,NOVA ALIANCA,259010 - UNIAO DE VILA NOVA/PQ D PEDRO ,"53,177","99,442","25,119","88,866","16,524","283,128","99,639","27,703","410,470"
PERMISSAO,11/1/2013,AREA 3,NOVA ALIANCA,259021 - UNIAO DE V NOVA/PQ D PEDRO II ,929,"3,596",513,"3,473",85,"8,596",888,253,"9,737"
PERMISSAO,11/1/2013,AREA 3,NOVA ALIANCA,316110 - JD COLORADO/TERM P D PEDRO II,4,0,0,0,0,4,0,0,4
PERMISSAO,11/1/2013,AREA 3,PAULISTANA,200710 - CIDADE KEMEL II/SAO MIGUEL,"1,699","3,711","1,098","3,793",978,"11,279","3,858","2,056","17,193"
PERMISSAO,11/1/2013,AREA 3,PAULISTANA,270210 - VILA AMERICANA/METRO A ALVIN,"1,147","2,581","1,601","2,624","1,945","9,898","5,426","1,496","16,820"
