TIPO,AREA,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
PERMISSAO,AREA 3,2017-04-01,ALLIBUS,408510 - COHAB FAZE DO CARMO/M ITAQUERA," 2,229 "," 16,025 "," 2,779 ", 581 , 57 ," 13,521 "," 1,034 "," 7,005 "," 2,070 "," 45,301 "," 17,006 "," 12,204 "," 15,370 "," 89,881 "
PERMISSAO,AREA 3,2017-04-01,ALLIBUS,409310 - CIDADE TIRADENTES/METRO PENHA," 1,705 "," 30,063 "," 9,109 ", 991 , 56 ," 28,272 "," 3,331 ", 142 ," 3,413 "," 77,082 "," 60,050 "," 35,762 "," 38,753 "," 211,647 "
PERMISSAO,AREA 3,2017-04-01,ALLIBUS,N34111 - TERM SAO MIGUEL/VILA CISPER, 51 , 92 , 7 , 1 , -   , 280 , 5 , 46 , 33 , 515 , 148 , 73 , 58 , 794 
PERMISSAO,AREA 3,2017-04-01,ALLIBUS,RNOT11 - RESERVA NOTRNA, -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 2 , 1 , -   , -   , 3 
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200410 - JD MIRIAM/GUAIANAZES," 9,527 "," 48,326 "," 9,203 "," 1,085 ", 174 ," 49,034 "," 4,362 "," 30,909 "," 6,965 "," 159,585 "," 50,118 "," 34,344 "," 49,034 "," 293,081 "
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200510 - JD ROMANO/SAO MIGUEL," 12,956 "," 22,140 "," 2,929 "," 1,297 ", 81 ," 25,008 "," 1,680 "," 5,066 "," 1,986 "," 73,143 "," 26,868 "," 35,028 "," 23,568 "," 158,607 "
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200610 - CIDADE KEMEL I /ITAIM PAULISTA," 30,031 "," 81,300 "," 13,585 "," 2,270 ", 110 ," 82,513 "," 4,074 "," 48,607 "," 12,333 "," 274,823 "," 90,836 "," 63,765 "," 67,922 "," 497,346 "
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200710 - CIDADE KEMEL II/SAO MIGUEL," 13,397 "," 38,114 "," 6,983 "," 1,459 ", 106 ," 39,148 "," 1,760 "," 37,749 "," 7,813 "," 146,529 "," 40,767 "," 42,263 "," 40,541 "," 270,100 "
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200810 - JD N SRA CAMINHO/ESTACAO ITAIM," 14,051 "," 32,266 "," 7,848 "," 2,177 ", 100 ," 33,088 "," 3,897 "," 28,873 "," 6,042 "," 128,342 "," 47,304 "," 40,635 "," 37,519 "," 253,800 "
PERMISSAO,AREA 3,2017-04-01,TRANSUNIÃO,200841 - JD. MIRIAM/ITAIM PAULISTA," 9,917 "," 28,291 "," 6,024 "," 1,846 ", 157 ," 29,272 "," 2,089 "," 20,253 "," 5,190 "," 103,039 "," 30,834 "," 39,307 "," 40,010 "," 213,190 "
