TIPO,AREA,DATA,EMPRESA,LINHA,"Soma de PASSAGEIROS PAGANTES EM DINHEIRO

(A)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","Soma de PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","Soma de PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","Soma de PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","Soma de PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","Soma de PASSAGEIROS COM GRATUIDADE

(L)","Soma de PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","Soma de TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
CONCESSAO,AREA 4,2016-03-01,EXPRESS,400510 - T CID TIRADENTES/BARRO BRANCO," 3,579 "," 30,849 "," 5,494 "," 1,188 ", 123 ," 25,365 "," 1,193 ", 51 ," 1,059 "," 68,901 "," 58,785 "," 31,899 "," 20,750 "," 180,335 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,400610 - JD NOVA VITORIA/CIRCULAR," 3,344 "," 21,261 "," 2,510 ", 385 , 134 ," 11,619 ", 605 , 80 , 386 ," 40,324 "," 42,545 "," 11,297 "," 14,012 "," 108,178 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,400710 - COHAB JUSCELINO/TERM V CARRAO," 11,727 "," 43,943 "," 7,588 "," 1,927 ", 445 ," 28,538 "," 1,973 ", 85 , 537 ," 96,763 "," 69,076 "," 42,125 "," 20,839 "," 228,803 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,400810 - JD CIBELE/TERM VILA CARRAO," 6,499 "," 22,765 "," 2,632 ", 807 , 255 ," 19,594 "," 1,183 ", 25 , 253 ," 54,013 "," 38,807 "," 18,495 "," 17,842 "," 129,157 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401010 - JD NSA SRA DO CARMO/T V CARRAO," 4,051 "," 12,412 "," 1,707 "," 1,193 ", 191 ," 8,668 ", 380 ," 1,847 ", 274 ," 30,723 "," 13,454 "," 10,155 "," 6,637 "," 60,969 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401110 - JD LIMOEIRO/TERM SAO MATEUS," 18,521 "," 54,204 "," 4,917 "," 1,635 ", 352 ," 37,450 "," 1,963 ", 46 , 618 ," 119,706 "," 57,586 "," 36,123 "," 26,670 "," 240,085 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401210 - JD DA CONQUISTA/T SAO MAETEUS," 32,355 "," 64,072 "," 4,957 "," 2,178 ", 312 ," 49,622 "," 1,726 ", 92 , 785 ," 156,099 "," 46,834 "," 35,796 "," 25,178 "," 263,907 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401310 - JD SANTO ANDRE/TERM SAO MATEUS," 30,846 "," 48,962 "," 3,584 "," 1,366 ", 165 ," 37,601 "," 1,480 ", 88 , 672 ," 124,764 "," 32,792 "," 27,038 "," 16,435 "," 201,029 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401410 - JD VILA CARRAO/TER VILA CARRAO," 8,297 "," 30,431 "," 3,894 "," 1,426 ", 379 ," 26,001 "," 1,912 ", 26 , 308 ," 72,674 "," 43,827 "," 22,893 "," 17,247 "," 156,641 "
CONCESSAO,AREA 4,2016-03-01,EXPRESS,401510 - T SAO MATEUS/JD RODOLFO PIRANI," 8,980 "," 14,829 "," 1,166 ", 548 , 132 ," 10,789 ", 313 , 15 , 239 ," 37,011 "," 10,148 "," 10,014 "," 5,058 "," 62,231 "
